ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
c͡çʷʰː,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,
d͡ʒʷʰː,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,
t͡sʰʲ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d͡zʰʲ,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
t͡sʰᶣ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
d͡zʰᶣ,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
t͡sʰˠ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
d͡zʰˠ,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
t͡sʲʷʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
d͡zʷʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
t͡sʷʰː,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
d͡zʷʰː,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
p͡fʰʲ,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
b͡vʰʲ,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
p͡fʰˠ,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
b͡vʰˠ,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
p͡fʲʷʰ,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
b͡vʷʰ,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
p͡fʷʰː,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
b͡vʷʰː,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
k͡xˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɡ͡ɣˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
k͡xʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɡ͡ɣʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʈ͡ʂʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɖ͡ʐʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
c͡çˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɟ͡ʝˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
c͡çʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
d͡ʒʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
t͡sʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
d͡zʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
t̪͡s̪ʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
d̪͡z̪ʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
p͡ɸʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
p͡fʷˤʰ,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
b͡βʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
b͡vʷˤʰ,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
d͡ɮ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡ɮː,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
d͡ɮ̻,-,-,+,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
t͡ɬ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
t͡ɬː,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d̪͡ɮ̪ː,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪͡ɬ̪,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̻,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪͡ɬ̪ː,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d͡ɮˤ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
d͡ɮˤː,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
t͡ɬˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d̪͡ɮ̪ˤ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
t͡ɬˤː,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
d̪͡ɮ̪ˤː,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
t̪͡ɬ̪ˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
t̪͡ɬ̪ˤː,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,
ʈˡ,-,-,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɖˡ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
tˡ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
dˡ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
t̪ˡ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪ˡ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
p͡tˡ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
b͡dˡ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
d͡ɮʲ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
d͡ɮːʲ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,
d͡ɮᶣ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
d͡ɮˠ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
d͡ɮːˠ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,+,-,-,
d͡ɮʷˠ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
d͡ɮːʷ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
t͡ɬʲ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪ʲ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
t͡ɬːʲ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
d̪͡ɮ̪ːʲ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
t͡ɬᶣ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
d̪͡ɮ̪ᶣ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
t͡ɬˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
d̪͡ɮ̪ˠ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
t͡ɬːˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
d̪͡ɮ̪ːˠ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
t͡ɬʷˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
d̪͡ɮ̪ʷˠ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
t͡ɬʷː,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
d̪͡ɮ̪ːʷ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
t̪͡ɬ̪ʲ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
t̪͡ɬ̪ːʲ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,
t̪͡ɬ̪ᶣ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
t̪͡ɬ̪ˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
t̪͡ɬ̪ːˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,+,-,-,
t̪͡ɬ̪ʷˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
t̪͡ɬ̪ʷː,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
ǂˡ,-,-,+,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǃˡ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
ǀˡ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
d͡ɮʷˤ,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
t͡ɬʷˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
d̪͡ɮ̪ʷˤ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
t̪͡ɬ̪ʷˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
d͡ɮ̰,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡ɮ̰ː,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
t͡ɬˀ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̰,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
t͡ɬʼː,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d̪͡ɮ̪̰ː,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪͡ɬ̪ˀ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪͡ɬ̪ʼː,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d͡ɮ̰ˤ,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
t͡ɬˤʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d̪͡ɮ̪̰ˤ,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
t̪͡ɬ̪ˤʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
ɗˡ,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡ɮ̰ʲ,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
d͡ɮ̰ˠ,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
d͡ɮʷˀ,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
t͡ɬʼʲ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̰ʲ,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̰ˠ,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
t͡ɬʼʷ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
d̪͡ɮ̪ʷˀ,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
t̪͡ɬ̪ʼʲ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
t̪͡ɬ̪ʼʷ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
t͡ɬʷˤʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
t̪͡ɬ̪ʷˤʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
d͡ɮ̤,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡ɮʰː,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
t͡ɬʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̤,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
t͡ɬʰː,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d̪͡ɮ̪ʰː,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪͡ɬ̪ʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪͡ɬ̪ʰː,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d͡ɮˤʰ,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
t͡ɬˤʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d̪͡ɮ̪ˤʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
t̪͡ɬ̪ˤʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d͡ɮʰʲ,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
d͡ɮʰᶣ,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
d͡ɮʰˠ,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
d͡ɮʲʷʰ,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
d͡ɮʷʰː,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
t͡ɬʰʲ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪ʰʲ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
t͡ɬʰᶣ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
d̪͡ɮ̪ʰᶣ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
t͡ɬʰˠ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
d̪͡ɮ̪ʰˠ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
t͡ɬʲʷʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
d̪͡ɮ̪ʷʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
t͡ɬʷʰː,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
d̪͡ɮ̪ʷʰː,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
t̪͡ɬ̪ʰʲ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
t̪͡ɬ̪ʰᶣ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
t̪͡ɬ̪ʰˠ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
t̪͡ɬ̪ʲʷʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
t̪͡ɬ̪ʷʰː,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
d͡ɮʷˤʰ,-,-,+,-,+,+,-,-,+,+,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
t͡ɬʷˤʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
d̪͡ɮ̪ʷˤʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
t̪͡ɬ̪ʷˤʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
ɖ͡ʐ̃,-,-,+,-,+,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɖ͡ʐ̃ː,-,-,+,-,+,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
d̪͡z̪̃,-,-,+,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪͡z̪̃ː,-,-,+,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
b͡β̃,-,-,+,-,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b͡β̃ː,-,-,+,-,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɖ͡ʐ̃ˤ,-,-,+,-,+,-,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
d̪͡z̪̃ˤ,-,-,+,-,+,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
b͡β̃ˤ,-,-,+,-,+,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɢ͡ʁ̃,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɢ͡ʁ̃ː,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
d͡ʒ̃,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
d͡ʒ̃ː,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
d͡z̃,-,-,+,-,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡z̃ː,-,-,+,-,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
b͡ṽ,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b͡ṽː,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɢ͡ʁ̃ˤ,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
d͡ʒ̃ˤ,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,
d͡z̃ˤ,-,-,+,-,+,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
b͡ṽˤ,-,-,+,-,+,-,+,+,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɡ͡ɣ̃,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɡ͡ɣ̃ː,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɟ͡ʝ̃,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɟ͡ʝ̃ː,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɡ͡ɣ̃ˤ,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
d͡ʑ̃ˤ,-,-,+,-,+,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɖ͡ʐ̰̃,-,-,+,-,+,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̪͡z̪̰̃,-,-,+,-,+,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
b͡β̰̃,-,-,+,-,+,-,+,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɢ͡ʁ̰̃,-,-,+,-,+,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
d͡ʒ̰̃,-,-,+,-,+,-,+,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
d͡z̰̃,-,-,+,-,+,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
b͡ṽ̰,-,-,+,-,+,-,+,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɡ͡ɣ̰̃,-,-,+,-,+,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɟ͡ʝ̰̃,-,-,+,-,+,-,+,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
d͡ɮ̃,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡ɮ̃ː,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
d̪͡ɮ̪̃,-,-,+,-,+,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̃ː,-,-,+,-,+,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d͡ɮ̃ˤ,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
d̪͡ɮ̪̃ˤ,-,-,+,-,+,+,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d͡ɮ̰̃,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̪͡ɮ̪̰̃,-,-,+,-,+,+,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
χ,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ʁ,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
χː,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ʁː,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ʂ,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʐ,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʂː,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ʐː,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ʃ,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,voiceless postalveolar fricative
ʒ,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,voiced postalveolar fricative
ʃː,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
ʒː,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
s,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiceless alveolar fricative
z,-,-,+,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,voiced alveolar fricative
